symbol,listing_date,listing_day_high,listing_day_low,listing_day_close,listing_day_volume,last_updated,status
ABCOTS,2025-09-24,504.0,440.0,452.1,137783.0,2025-11-14 04:01:25,ACTIVE
ABLBL,2025-06-23,175.0,158.65,158.65,6414316.0,2025-11-14 04:01:26,ACTIVE
ADVANCE,2025-10-08,114.5,108.3,108.3,9016969.0,2025-11-14 04:01:26,ACTIVE
ADVENTHTL,2025-11-13,328.65,300.0,328.65,765254.0,2025-11-14 04:01:27,ACTIVE
AEGISVOPAK,2025-06-02,242.0,220.0,242.0,27206468.0,2025-11-14 04:01:29,ACTIVE
AJAXENGG,2025-02-17,609.0,566.0,595.4,6686060.0,2025-11-16 12:37:07,BREAKOUT
ALLTIME,2025-08-14,325.0,280.65,283.3,16679393.0,2025-11-14 04:01:32,ACTIVE
ANTHEM,2025-07-21,747.0,723.05,730.35,41014089.0,2025-11-14 04:01:33,ACTIVE
ANUHPHR,2024-12-20,122.85,110.04,111.42,222486.0,2025-11-14 04:01:34,ACTIVE
ARFIN,2025-07-22,41.9,37.01,38.4,1226411.0,2025-11-14 04:01:35,ACTIVE
ARISINFRA,2025-06-25,208.5,171.49,174.38,13200640.0,2025-11-14 04:01:37,ACTIVE
ARSSBL,2025-09-30,458.7,431.0,445.55,21291574.0,2025-11-16 12:37:30,BREAKOUT
ATHERENERG,2025-05-06,333.0,299.1,302.3,15001040.0,2025-11-14 04:01:39,ACTIVE
ATLANTAELE,2025-09-29,865.0,806.25,823.35,8410016.0,2025-11-14 04:01:40,ACTIVE
BAJAJINDEF,2025-02-21,295.05,266.95,266.95,65258.0,2025-11-14 04:01:41,ACTIVE
BELLACASA,2025-07-18,443.9,415.0,421.5,20593.0,2025-11-14 04:01:42,ACTIVE
BELRISE,2025-05-28,102.4,91.55,97.41,198506902.0,2025-11-14 04:01:43,ACTIVE
BHARATSE,2025-03-24,86.0,77.99,84.43,140657.0,2025-11-14 04:01:44,ACTIVE
BLACKBUCK,2024-11-22,285.9,255.35,260.05,6737252.0,2025-11-14 04:01:45,ACTIVE
BLUESTONE,2025-08-19,564.0,508.1,546.0,11549622.0,2025-11-14 04:01:46,ACTIVE
BLUSPRING,2025-06-11,89.0,84.55,84.55,112410.0,2025-11-14 04:01:47,ACTIVE
BMWVENTLTD,2025-10-01,78.0,74.1,74.1,1451832.0,2025-11-14 04:01:48,ACTIVE
BORANA,2025-05-27,255.15,243.0,255.15,2004551.0,2025-11-14 04:01:49,ACTIVE
BRIGHOTEL,2025-07-31,87.84,81.1,85.32,21119517.0,2025-11-14 04:01:50,ACTIVE
CANHLIFE,2025-10-17,112.8,106.0,111.42,63162574.0,2025-11-14 04:01:51,ACTIVE
CARRARO,2024-12-30,682.0,631.0,636.2,2751746.0,2025-11-14 04:01:52,ACTIVE
CEWATER,2024-12-27,860.0,801.0,827.1,9233701.0,2025-11-14 04:01:53,ACTIVE
CHEMBONDCH,2025-07-23,178.5,170.0,178.5,137104.0,2025-11-14 04:01:54,ACTIVE
CIFL,2025-04-17,36.9,34.59,36.0,124917.0,2025-11-14 04:01:55,ACTIVE
CPEDU,2025-09-05,240.52,217.61,235.45,136923.0,2025-11-14 04:01:56,ACTIVE
CPPLUS,2025-08-05,1104.0,1015.0,1082.65,19682593.0,2025-11-14 04:01:57,ACTIVE
CRAMC,2025-10-16,318.0,280.25,300.45,52008010.0,2025-11-14 04:01:58,ACTIVE
CRIZAC,2025-07-09,309.15,275.0,307.63,67262152.0,2025-11-14 04:01:59,ACTIVE
CURAA,2025-11-13,175.11,158.44,169.5,6427.0,2025-11-14 04:02:00,ACTIVE
DAMCAPITAL,2024-12-27,456.9,392.95,415.1,43448517.0,2025-11-14 04:02:01,ACTIVE
DDEVPLSTIK,2025-01-15,266.0,258.05,259.95,53535.0,2025-11-16 12:38:06,BREAKOUT
DENTA,2025-01-29,341.25,325.0,341.25,1559846.0,2025-11-14 04:02:03,ACTIVE
DEVX,2025-09-17,64.05,59.0,64.05,6168175.0,2025-11-14 04:02:04,ACTIVE
DIGITIDE,2025-06-11,257.25,232.75,232.75,2752430.0,2025-11-14 04:02:06,ACTIVE
EBGNG,2025-07-30,359.4,325.55,333.39,26545484.0,2025-11-14 04:02:06,ACTIVE
EFCIL,2025-08-20,357.0,341.5,344.85,355763.0,2025-11-14 04:02:07,ACTIVE
EIEL,2024-11-29,233.7,205.05,207.07,55409608.0,2025-11-14 04:02:09,ACTIVE
ELLEN,2025-07-01,534.6,486.0,534.6,16209672.0,2025-11-14 04:02:10,ACTIVE
ENRIN,2025-06-19,2982.0,2698.0,2735.0,4080416.0,2025-11-14 04:02:11,ACTIVE
EPACKPEB,2025-10-01,197.7,183.85,190.66,10651072.0,2025-11-14 04:02:12,ACTIVE
EUROBOND,2025-08-01,228.5,200.0,204.28,64471.0,2025-11-14 04:02:13,ACTIVE
EUROPRATIK,2025-09-23,278.0,247.06,248.38,11746338.0,2025-11-14 04:02:14,ACTIVE
FABTECH,2025-10-07,192.5,182.4,182.4,6037277.0,2025-11-14 04:02:15,ACTIVE
FINKURVE,2025-10-01,114.07,105.0,114.07,51575.0,2025-11-14 04:02:16,ACTIVE
FISCHER,2025-07-10,839.9,770.1,775.85,10938.0,2025-11-14 04:02:17,ACTIVE
GANESHCP,2025-09-29,308.7,291.65,294.3,5493770.0,2025-11-14 04:02:18,ACTIVE
GCSL,2025-09-04,324.7,280.0,317.3,448071.0,2025-11-14 04:02:19,ACTIVE
GEMAROMA,2025-08-26,349.6,314.65,319.05,9152805.0,2025-11-14 04:02:20,ACTIVE
GKENERGY,2025-09-26,174.7,165.0,167.74,29452801.0,2025-11-14 04:02:20,ACTIVE
GLOBECIVIL,2025-07-01,94.5,87.0,94.46,7078717.0,2025-11-14 04:02:21,ACTIVE
GLOTTIS,2025-10-07,93.0,81.17,83.7,28034318.0,2025-11-14 04:02:23,ACTIVE
GROWW,2025-11-12,134.4,112.0,131.33,523838472.0,2025-11-14 04:02:24,ACTIVE
GUJTHEM,2025-02-25,269.85,240.14,243.46,33559.0,2025-11-14 04:02:25,ACTIVE
HDBFS,2025-07-02,851.4,827.15,840.95,80966441.0,2025-11-14 04:02:26,ACTIVE
HEXT,2025-02-19,788.0,708.0,762.55,18950189.0,2025-11-14 04:02:28,ACTIVE
HILINFRA,2025-08-12,120.75,115.0,120.75,5236750.0,2025-11-14 04:02:29,ACTIVE
IGCL,2025-07-03,113.0,106.0,110.35,5240704.0,2025-11-14 04:02:30,ACTIVE
IGIL,2024-12-20,525.0,459.0,471.15,64151155.0,2025-11-14 04:02:31,ACTIVE
IKS,2024-12-19,2031.0,1852.1,1960.85,16494444.0,2025-11-14 04:02:32,ACTIVE
INDIQUBE,2025-07-30,222.97,201.6,217.97,10351056.0,2025-11-14 04:02:33,ACTIVE
INDOFARM,2025-01-07,287.0,256.0,273.69,24272789.0,2025-11-14 04:02:34,ACTIVE
INNOVANA,2024-12-17,524.0,456.25,467.7,14712.0,2025-11-14 04:02:35,ACTIVE
ISHANCH,2025-03-24,45.0,41.63,42.08,41395.0,2025-11-16 12:38:55,BREAKOUT
IVALUE,2025-09-25,298.35,274.05,281.85,8220100.0,2025-11-14 04:02:38,ACTIVE
JAINREC,2025-10-01,318.06,247.57,318.06,48880419.0,2025-11-14 04:02:39,ACTIVE
JARO,2025-09-30,890.0,717.55,744.25,4394427.0,2025-11-14 04:02:40,ACTIVE
JKIPL,2025-10-03,126.95,118.75,121.66,3140504.0,2025-11-14 04:02:41,ACTIVE
JSLL,2025-08-11,576.95,510.3,536.1,263596.0,2025-11-14 04:02:42,ACTIVE
JSWCEMENT,2025-08-14,154.77,145.05,146.07,105274421.0,2025-11-14 04:02:43,ACTIVE
JUBLCPL,2025-02-14,1589.9,1510.4,1510.4,458.0,2025-11-14 04:02:44,ACTIVE
KALPATARU,2025-07-01,452.8,414.0,432.95,9459898.0,2025-11-14 04:02:45,ACTIVE
KMEW,2024-11-14,2189.05,1915.0,2111.45,66526.0,2025-11-14 04:02:46,ACTIVE
KPEL,2024-11-14,549.0,526.0,534.45,66906.0,2025-11-14 04:02:47,ACTIVE
KRISHIVAL,2025-06-20,414.8,407.0,414.8,83088.0,2025-11-14 04:02:48,ACTIVE
LAXMIDENTL,2025-01-20,584.0,525.0,550.55,23912071.0,2025-11-14 04:02:49,ACTIVE
LAXMIINDIA,2025-08-05,146.68,132.98,134.11,6460461.0,2025-11-14 04:02:49,ACTIVE
LENSKART,2025-11-10,413.75,356.1,403.1,131582855.0,2025-11-14 04:02:50,ACTIVE
LGEINDIA,2025-10-14,1749.0,1650.0,1689.9,68793750.0,2025-11-14 04:02:51,ACTIVE
MAMATA,2024-12-27,630.0,600.0,630.0,2646195.0,2025-11-14 04:02:52,ACTIVE
MARKOLINES,2025-10-14,188.0,180.0,183.9,196228.0,2025-11-14 04:02:53,ACTIVE
MBEL,2025-08-06,418.8,373.5,408.65,15361082.0,2025-11-14 04:02:54,ACTIVE
MCLOUD,2025-02-07,80.0,75.0,75.9,241713.0,2025-11-14 04:02:55,ACTIVE
MEIL,2025-08-28,566.0,527.35,535.35,5830496.0,2025-11-14 04:02:56,ACTIVE
MIDWESTLTD,2025-10-24,1190.0,1129.1,1140.5,4728110.0,2025-11-14 04:02:57,ACTIVE
MOBIKWIK,2024-12-18,528.0,440.0,528.0,29575248.0,2025-11-14 04:02:58,ACTIVE
MONEYBOXX,2025-10-15,170.12,155.5,158.64,24457.0,2025-11-14 04:03:05,ACTIVE
MOSCHIP,2025-02-05,204.0,197.05,198.74,152624.0,2025-11-14 04:03:06,ACTIVE
MWL,2025-09-18,265.0,237.3,254.95,107575.0,2025-11-14 04:03:07,ACTIVE
NATCAPSUQ,2025-02-14,264.8,237.5,249.55,6543.0,2025-11-14 04:03:08,ACTIVE
NAVKARURB,2025-01-17,3.15,2.88,3.05,11831640.0,2025-11-14 04:03:09,ACTIVE
NIBE,2025-02-07,1660.0,1570.05,1592.9,66988.0,2025-11-14 04:03:10,ACTIVE
NPST,2025-04-30,2425.0,2250.0,2320.15,10046.0,2025-11-14 04:03:11,ACTIVE
NTPCGREEN,2024-11-27,122.65,111.5,121.65,300960804.0,2025-11-14 04:03:12,ACTIVE
OMFREIGHT,2025-10-08,85.57,81.1,85.57,1881994.0,2025-11-16 12:39:49,BREAKOUT
ORCHASP,2025-02-07,3.79,3.45,3.58,630507.0,2025-11-14 04:03:15,ACTIVE
ORKLAINDIA,2025-11-06,760.0,692.55,713.65,16614143.0,2025-11-14 04:03:16,ACTIVE
OSWALPUMPS,2025-06-20,652.0,622.25,625.35,16374659.0,2025-11-16 12:39:55,BREAKOUT
PACEDIGITK,2025-10-06,231.0,207.0,217.99,36039509.0,2025-11-14 04:03:17,ACTIVE
PASHUPATI,2025-07-17,690.0,661.0,688.35,6632.0,2025-11-16 12:40:10,BREAKOUT
PATELRMART,2025-08-26,305.0,285.55,287.7,3859718.0,2025-11-14 04:03:19,ACTIVE
PICCADIL,2025-07-02,630.0,600.05,603.5,110937.0,2025-11-14 04:03:20,ACTIVE
PIRAMALFIN,2025-11-07,1323.0,1260.0,1323.0,1256400.0,2025-11-14 04:03:21,ACTIVE
PRABHA,2025-03-19,222.05,210.94,210.94,61162.0,2025-11-14 04:03:22,ACTIVE
PRIMO,2025-04-22,29.48,27.8,27.96,60302.0,2025-11-14 04:03:23,ACTIVE
PROSTARM,2025-06-03,126.0,120.0,126.0,6449680.0,2025-11-14 04:03:24,ACTIVE
PROTEAN,2025-02-06,1535.0,1457.05,1469.7,235483.0,2025-11-14 04:03:25,ACTIVE
QPOWER,2025-02-24,430.75,382.5,387.9,11080676.0,2025-11-14 04:03:26,ACTIVE
QUADFUTURE,2025-01-14,444.0,362.1,444.0,14675829.0,2025-11-14 04:03:27,ACTIVE
RACLGEAR,2024-11-27,860.0,820.05,847.9,10640.0,2025-11-14 04:03:28,ACTIVE
RAJOOENG,2025-05-29,133.7,129.15,132.82,209806.0,2025-11-14 04:03:29,ACTIVE
REGAAL,2025-08-20,145.7,130.25,131.58,46908688.0,2025-11-14 04:03:31,ACTIVE
RHETAN,2025-09-26,22.39,20.32,21.29,2487834.0,2025-11-16 12:40:31,BREAKOUT
RMDRIP,2025-07-30,66.8,62.55,66.3,1659290.0,2025-11-14 04:03:32,ACTIVE
RNBDENIMS,2025-09-04,128.98,100.41,103.35,166945.0,2025-11-14 04:03:33,ACTIVE
ROSSTECH,2024-12-09,579.0,531.75,531.75,177963.0,2025-11-14 04:03:35,ACTIVE
RUBICON,2025-10-16,639.0,587.35,628.2,24688246.0,2025-11-16 12:40:39,BREAKOUT
SAATVIKGL,2025-09-26,465.0,427.3,440.7,6749933.0,2025-11-14 04:03:37,ACTIVE
SAILIFE,2024-12-18,780.0,650.0,764.65,46659166.0,2025-11-14 04:03:39,ACTIVE
SAMBHV,2025-07-02,111.0,96.25,97.59,57089913.0,2025-11-14 04:03:40,ACTIVE
SANATHAN,2024-12-27,423.0,382.0,388.35,13703609.0,2025-11-14 04:03:41,ACTIVE
SCODATUBES,2025-06-04,147.0,135.1,147.0,4683120.0,2025-11-14 04:03:42,ACTIVE
SENORES,2024-12-30,609.65,538.85,557.05,14234437.0,2025-11-14 04:03:42,ACTIVE
SGFIN,2025-08-05,412.0,395.0,398.15,59292.0,2025-11-14 04:03:43,ACTIVE
SGLTL,2025-01-13,182.0,161.0,163.28,45302299.0,2025-11-14 04:03:44,ACTIVE
SGMART,2025-09-12,369.0,350.5,358.1,106559.0,2025-11-14 04:03:45,ACTIVE
SHANTIGOLD,2025-08-01,238.36,227.1,229.38,22998671.0,2025-11-14 04:03:46,ACTIVE
SHREEJISPG,2025-08-26,275.0,252.2,255.1,14197871.0,2025-11-14 04:03:52,ACTIVE
SHRINGARMS,2025-09-17,191.0,182.6,184.88,23282861.0,2025-11-14 04:03:53,ACTIVE
SMARTWORKS,2025-07-17,469.25,435.0,445.05,17540423.0,2025-11-14 04:03:53,ACTIVE
SOLARWORLD,2025-09-30,388.5,320.5,323.5,9257897.0,2025-11-14 04:03:54,ACTIVE
SOLEX,2025-10-08,1826.35,1652.45,1715.35,78973.0,2025-11-14 04:03:55,ACTIVE
SPECTRUM,2025-03-28,2249.95,1915.55,2057.05,13043.0,2025-11-14 04:03:56,ACTIVE
STALLION,2025-01-23,126.0,120.0,126.0,7572766.0,2025-11-14 04:03:57,ACTIVE
STLNETWORK,2025-09-04,23.0,21.75,21.75,2817454.0,2025-11-14 04:03:58,ACTIVE
STUDDS,2025-11-07,585.0,557.0,560.3,5490621.0,2025-11-14 04:03:59,ACTIVE
STYL,2025-09-30,437.45,406.0,411.45,10374909.0,2025-11-14 04:04:00,ACTIVE
SUPREME,2025-02-03,92.35,84.9,88.44,117829.0,2025-11-14 04:04:00,ACTIVE
SURAKSHA,2024-12-06,449.0,414.95,417.25,6747269.0,2025-11-14 04:04:01,ACTIVE
SYSTMTXC,2025-10-06,142.98,126.1,139.77,401671.0,2025-11-14 04:04:02,ACTIVE
TATACAP,2025-10-13,333.0,326.25,330.5,117611923.0,2025-11-14 04:04:03,ACTIVE
THELEELA,2025-06-02,438.9,405.0,435.55,13347851.0,2025-11-14 04:04:04,ACTIVE
TIGERLOGS,2025-09-18,56.69,49.65,51.37,1367904.0,2025-11-14 04:04:05,ACTIVE
TINNARUBR,2025-04-17,1040.0,1005.4,1021.15,8204.0,2025-11-14 04:04:06,ACTIVE
TMCV,2025-11-12,345.0,320.0,329.45,31273277.0,2025-11-14 04:04:07,ACTIVE
TRANSRAILL,2024-12-27,605.0,544.5,553.55,19363730.0,2025-11-14 04:04:08,ACTIVE
TRAVELFOOD,2025-07-14,1130.0,1066.0,1074.8,4942773.0,2025-11-16 12:41:21,BREAKOUT
UNIMECH,2024-12-31,1485.0,1327.75,1376.25,8420710.0,2025-11-14 04:04:10,ACTIVE
URBANCO,2025-09-17,179.0,161.37,166.83,196030557.0,2025-11-14 04:04:11,ACTIVE
VENTIVE,2024-12-30,749.0,702.0,704.35,12283534.0,2025-11-14 04:04:12,ACTIVE
VIKRAMSOLR,2025-08-26,381.65,333.65,356.4,66991042.0,2025-11-14 04:04:13,ACTIVE
VIKRAN,2025-09-03,101.77,93.26,95.71,79381336.0,2025-11-14 04:04:14,ACTIVE
VMM,2024-12-18,114.4,104.0,111.93,728732202.0,2025-11-16 12:41:30,BREAKOUT
VMSTMT,2025-09-24,105.0,99.65,99.65,5353619.0,2025-11-14 04:04:17,ACTIVE
WAAREERTL,2025-04-09,884.95,841.15,856.25,68541.0,2025-11-14 04:04:18,ACTIVE
WEWORK,2025-10-10,650.15,614.25,628.65,7071726.0,2025-11-14 04:04:19,ACTIVE
AEQUS,2025-12-10,157.0,135.4,151.29,115621297.0,2025-12-17 23:13:39,ACTIVE
BETA,2025-11-24,1698.95,1530.1,1617.0,6019.0,2025-12-17 23:13:40,ACTIVE
CAPILLARY,2025-11-21,633.9,570.05,606.5,24241476.0,2025-12-17 23:13:42,ACTIVE
CORONA,2025-12-15,1497.8,1413.0,1438.4,12889175.0,2025-12-17 23:13:43,ACTIVE
EXCELSOFT,2025-11-26,142.59,125.13,125.97,78134073.0,2025-12-17 23:13:45,ACTIVE
HCC-RE1,2025-12-12,4.82,4.01,4.65,42356897.0,2025-12-17 23:13:46,ACTIVE
JAYKAY,2025-12-03,219.7,208.25,211.7,95084.0,2025-12-17 23:13:47,ACTIVE
KNAGRI,2025-12-09,207.0,189.0,203.25,7748.0,2025-12-17 23:13:48,ACTIVE
KSR,2025-11-27,34.95,32.28,32.28,22486.0,2025-12-17 23:13:49,ACTIVE
LEMERITE,2025-12-12,537.85,509.0,513.75,101902.0,2025-12-17 23:13:51,ACTIVE
MEESHO,2025-12-10,177.49,162.0,170.09,400297561.0,2025-12-17 23:13:52,ACTIVE
MODINATUR,2025-12-11,390.0,352.25,379.55,3378.0,2025-12-17 23:13:53,ACTIVE
MODIS,2025-11-14,409.0,371.55,394.45,146856.0,2025-12-17 23:13:54,ACTIVE
PAUSHAKLTD,2025-12-01,625.0,580.0,588.15,17434.0,2025-12-17 23:13:56,ACTIVE
PINELABS,2025-11-14,284.0,234.17,250.89,97868249.0,2025-12-17 23:13:57,ACTIVE
PWL,2025-11-18,161.99,137.35,155.24,273389694.0,2025-12-17 23:13:59,ACTIVE
SHILCTECH,2025-11-24,4350.0,4156.0,4182.1,5020.0,2025-12-17 23:14:01,ACTIVE
SHIVAUM,2025-11-14,312.0,298.5,300.0,54.0,2025-12-17 23:14:02,ACTIVE
SKFINDUS,2025-12-05,2720.0,2498.5,2671.8,31893.0,2025-12-17 23:14:03,ACTIVE
SUDEEPPHRM,2025-11-28,795.0,725.0,774.15,39753452.0,2025-12-17 23:14:04,ACTIVE
TENNIND,2025-11-19,517.0,480.1,490.8,101572434.0,2025-12-17 23:14:05,ACTIVE
UTLSOLAR,2025-11-20,230.99,205.25,208.44,17145774.0,2025-12-17 23:14:07,ACTIVE
VIDYAWIRES,2025-12-10,58.45,50.0,53.17,95216157.0,2025-12-17 23:14:08,ACTIVE
WAKEFIT,2025-12-15,203.5,177.0,192.29,47754828.0,2025-12-17 23:14:09,ACTIVE
PARKHOSPS,2025-12-17,165.87,146.93,147.95,41035070.0,2025-12-18 05:36:52,ACTIVE
RUDRA,2025-12-19,29.0,26.22,27.47,256426.0,2025-12-22 04:29:08,ACTIVE
SWANDEF,2025-01-21,37.8,37.8,37.8,7098.0,2025-12-22 04:29:10,ACTIVE
KSHINTL,2025-12-23,370.25,350.0,355.0,4332284.0,2025-12-24 04:22:15,ACTIVE
GKSL,2025-12-30,123.0,102.9,104.54,29869973.0,2025-12-31 04:24:52,ACTIVE
KRISHNADEF,2025-12-30,843.75,800.0,813.8,41789.0,2025-12-31 04:24:58,ACTIVE
ALGOQUANT,2026-01-06,71.01,66.0,69.15,1425674.0,2026-01-07 04:28:14,ACTIVE
BUILDPRO,2026-01-09,898.05,812.55,812.55,297359.0,2026-01-12 04:39:35,ACTIVE
AGARWALEYE,2025-02-04,412.9,370.2,401.65,15635750.0,2026-01-18 13:01:46,ACTIVE
AHCL,2025-09-03,92.5,90.78,91.73,6429647.0,2026-01-18 13:01:47,ACTIVE
AMANTA,2025-09-09,141.75,132.0,141.75,4273222.0,2026-01-18 13:01:48,ACTIVE
EMMVEE,2025-11-18,227.71,207.0,219.4,36063490.0,2026-01-18 13:01:49,ACTIVE
ICICIAMC,2025-12-19,2663.4,2575.0,2585.9,31422557.0,2026-01-18 13:01:51,ACTIVE
ITCHOTELS,2025-01-29,180.0,171.0,171.85,24895079.0,2026-01-18 13:01:52,ACTIVE
LOTUSDEV,2025-08-06,195.8,176.7,195.67,91822808.0,2026-01-18 13:01:53,ACTIVE
NEPHROPLUS,2025-12-17,499.0,463.8,471.25,15351924.0,2026-01-18 13:01:54,ACTIVE
ONESOURCE,2025-01-24,1800.0,1710.0,1710.0,1533351.0,2026-01-18 13:01:55,ACTIVE
RAYMONDREL,2025-07-01,1050.0,950.0,969.2,1113469.0,2026-01-18 13:01:56,ACTIVE
TRUALT,2025-10-03,549.0,512.8,530.95,15118475.0,2026-01-18 13:01:57,ACTIVE
BHARATCOAL,2026-01-19,45.09,40.12,40.58,738039378.0,2026-01-20 04:34:08,ACTIVE
HALDER,2026-01-19,272.37,272.3,272.37,18203.0,2026-01-20 04:34:09,ACTIVE
ADVAIT,2026-01-20,1538.9,1366.8,1391.8,48593.0,2026-01-21 04:33:53,ACTIVE
AMAGI,2026-01-21,356.95,318.0,348.25,26831287.0,2026-01-22 04:37:22,ACTIVE
SHADOWFAX,2026-01-28,119.67,109.0,109.98,28514464.0,2026-01-29 04:58:16,ACTIVE
ARIS,2025-06-25,208.5,171.49,174.38,13200640.0,2026-02-09 05:20:46,ACTIVE
AYE,2026-02-16,133.8,120.55,128.91,9822584.0,2026-02-17 05:13:00,ACTIVE
FRACTAL,2026-02-16,897.3,831.3,847.15,6818588.0,2026-02-17 05:13:01,ACTIVE
KWIL,2026-02-16,31.29,28.31,29.42,49715872.0,2026-02-17 05:13:03,ACTIVE
DCMSIL,2026-02-17,52.21,49.5,52.21,77108.0,2026-02-18 05:14:29,ACTIVE
DSFCL,2026-02-17,52.5,47.5,47.5,79374.0,2026-02-18 05:14:30,ACTIVE
